What is your favorite outdoor activity?,Swimming,Biking,Running,Skiing
What is your favorite snack?,Popcorn,Pretzels,Trail Mix,Chips
What is your favorite type of steak?,Ribeye,Filet Mignon,New York Strip,T-Bone
What is your favorite superhero team?,Avengers,Justice League,X-Men,Guardians of the Galaxy
What is your favorite theme park?,Disneyland,Universal Studios,Six Flags,SeaWorld
What is your favorite type of wine?,Red,White,Rose,Sparkling
What is your favorite way to travel?,Car,Plane,Train,Boat
What is your favorite NFL team type?,Offense,Defense,Special Teams,Coaching
Who is your favorite Pixar character?,Woody,Buzz Lightyear,Nemo,Wall-E
What is your favorite type of hat?,Baseball Cap,Beanie,Fedora,Bucket Hat
What is your favorite game show?,Jeopardy,Wheel of Fortune,Price is Right,Family Feud
What is your favorite dessert?,Ice Cream,Cake,Pie,Brownies
What is your favorite fictional universe?,Star Wars,Marvel,Lord of the Rings,Harry Potter
What is your favorite type of art?,Painting,Sculpture,Photography,Digital
What is your favorite breakfast drink?,Coffee,Orange Juice,Milk,Tea
What is your favorite card game?,Poker,Blackjack,Uno,Go Fish
What is your favorite type of seafood?,Shrimp,Salmon,Lobster,Crab
What is your favorite mountain range?,Rockies,Alps,Himalayas,Andes
What is your favorite sitcom?,Friends,The Office,Seinfeld,Parks and Rec
What is your favorite type of soup?,Chicken Noodle,Tomato,Clam Chowder,French Onion
What is your favorite Mario game power-up?,Mushroom,Fire Flower,Star,Tanooki Suit
Who is your favorite SpongeBob character?,SpongeBob,Patrick,Squidward,Sandy
What is your favorite type of exercise?,Running,Weight Lifting,Yoga,Swimming
What is your favorite Italian food?,Pizza,Lasagna,Risotto,Gnocchi
What is your favorite type of juice?,Orange,Apple,Grape,Cranberry
What is your favorite car color?,Black,White,Red,Blue
What is your favorite planet feature?,Rings of Saturn,Red Spot of Jupiter,Ice Caps of Mars,Clouds of Venus
What is your favorite arcade game?,Pac-Man,Space Invaders,Donkey Kong,Galaga
What is your favorite type of museum exhibit?,Dinosaurs,Space,Ancient Egypt,Ocean Life
Who is your favorite Zelda character?,Link,Zelda,Ganondorf,Midna
What is your favorite winter activity?,Skiing,Ice Skating,Snowboarding,Building Snowmen
What is your favorite type of rice?,White,Brown,Fried,Jasmine
What is your favorite way to watch movies?,Theater,Streaming,Blu-ray,Drive-In
What is your favorite type of BBQ?,Ribs,Brisket,Pulled Pork,Chicken
Who is your favorite DC superhero?,Batman,Superman,Wonder Woman,Flash
What is your favorite punctuation mark?,Exclamation Point,Question Mark,Semicolon,Ellipsis
What is your favorite type of vacation?,Beach,Mountain,City,Road Trip
What is your favorite breakfast cereal?,Frosted Flakes,Lucky Charms,Cheerios,Cinnamon Toast Crunch
What is your favorite space object?,Star,Black Hole,Nebula,Comet
What is your favorite type of comedy?,Slapstick,Dark,Satire,Romantic
Who is your favorite Mario character?,Mario,Luigi,Yoshi,Toad
What is your favorite type of bath product?,Bubble Bath,Bath Bomb,Shower Gel,Epsom Salts
What is your favorite kitchen herb?,Basil,Cilantro,Rosemary,Thyme
What is your favorite type of map?,World,Treasure,Fantasy,Star
What is your favorite type of chocolate?,Milk,Dark,White,Caramel Filled
What is your favorite fairy tale?,Cinderella,Snow White,Sleeping Beauty,Little Mermaid
What is your favorite type of headphone?,Over-Ear,Earbuds,On-Ear,Bone Conduction
What is your favorite type of firework?,Sparkler,Roman Candle,Fountain,Aerial Shell
Who is your favorite Stranger Things character?,Eleven,Dustin,Steve,Hopper
What is your favorite type of energy?,Solar,Wind,Nuclear,Hydro
What is your favorite playground equipment?,Swings,Slide,Monkey Bars,Seesaw
What is your favorite type of cookie dough?,Chocolate Chip,Sugar,Peanut Butter,Snickerdoodle
What is your favorite road trip snack?,Beef Jerky,Gummy Bears,Sunflower Seeds,Trail Mix
What is your favorite type of lamp?,Table Lamp,Floor Lamp,Desk Lamp,Lava Lamp
What is your favorite Dragon Ball Z character?,Goku,Vegeta,Gohan,Piccolo
What is your favorite ancient civilization?,Egyptian,Roman,Greek,Mayan
What is your favorite type of salsa?,Mild,Medium,Hot,Mango
What is your favorite room in a house?,Bedroom,Kitchen,Living Room,Bathroom
What is your favorite type of pancake?,Buttermilk,Blueberry,Banana,Chocolate Chip
What is your favorite type of jacket?,Leather,Denim,Hoodie,Bomber
Who is your favorite Parks and Rec character?,Leslie,Ron,Andy,April
What is your favorite smartphone feature?,Camera,Battery Life,Screen,Speed
What is your favorite type of smoothie?,Strawberry Banana,Green,Mango,Acai
What is your favorite type of TV show?,Drama,Comedy,Thriller,Documentary
What is your favorite day of the week?,Friday,Saturday,Sunday,Monday
What is your favorite type of bagel?,Plain,Everything,Cinnamon Raisin,Sesame
What is your favorite type of cloud?,Cumulus,Cirrus,Stratus,Cumulonimbus
What is your favorite type of bean?,Black,Pinto,Kidney,Lima
What is your favorite type of pizza crust?,Thin,Thick,Stuffed,Deep Dish
What is your favorite classic rock band?,Led Zeppelin,Pink Floyd,The Rolling Stones,Queen
What is your favorite scary movie monster?,Vampire,Werewolf,Zombie,Ghost
What is your favorite type of fish?,Salmon,Tuna,Bass,Trout
What is your favorite type of pen?,Ballpoint,Gel,Felt Tip,Fountain
What is your favorite street food?,Hot Dog,Pretzel,Taco,Kebab
Who is your favorite Studio Ghibli character?,Totoro,No-Face,Calcifer,Ponyo
What is your favorite type of museum art?,Renaissance,Impressionist,Modern,Pop Art
What is your favorite direction to sit on a bus?,Front,Back,Left Side,Right Side
What is your favorite bedtime snack?,Cookies,Ice Cream,Popcorn,Fruit
What is your favorite planet to colonize?,Mars,Moon,Europa,Titan
What is your favorite computer key?,Enter,Space,Escape,Delete
What is your favorite emoji category?,Smiley,Animal,Food,Heart
What is your favorite type of wrap?,Burrito,Gyro,Spring Roll,Lettuce Wrap
What is your favorite '90s cartoon?,Rugrats,Hey Arnold,Dexter's Lab,Powerpuff Girls
What is your favorite type of glaze?,Chocolate,Maple,Vanilla,Strawberry
What is your favorite mode of public transit?,Bus,Subway,Train,Ferry
Who is your favorite Pixar villain?,Syndrome,Lotso,Randall,Hopper
What is your favorite type of cheese on pizza?,Mozzarella,Cheddar,Parmesan,Gouda
What is your favorite type of morning alarm?,Classic Beep,Music,Birds,Vibration
What is your favorite type of garden?,Flower,Vegetable,Herb,Rock
What is your favorite type of martial art?,Karate,Kung Fu,Jiu Jitsu,Taekwondo
What is your favorite fictional school?,Hogwarts,Xavier's School,Starfleet Academy,Bayside High
What is your favorite type of waterfall?,Niagara,Angel Falls,Victoria Falls,Iguazu Falls
What is your favorite type of magic trick?,Card Trick,Disappearing Act,Levitation,Escape
What is your favorite type of candle scent?,Vanilla,Lavender,Cinnamon,Ocean Breeze
What is your favorite type of festival?,Music,Food,Film,Renaissance
What is your favorite type of hot drink?,Coffee,Hot Chocolate,Tea,Cider
What is your favorite type of photography?,Landscape,Portrait,Street,Macro
What is your favorite way to read?,Physical Book,E-Reader,Audiobook,Phone
What is your favorite pizza order style?,Delivery,Dine In,Takeout,Frozen
What is your favorite type of roller coaster?,Steel,Wooden,Inverted,Launch
What is your favorite '80s movie?,Back to the Future,Ghostbusters,The Breakfast Club,Ferris Bueller's Day Off
What is your favorite type of balloon?,Helium,Water,Hot Air,Animal Shape
What is your favorite type of swimming pool?,Indoor,Outdoor,Infinity,Natural
What is your favorite type of sunset?,Beach,Mountain,Desert,City Skyline
What is your favorite video game weapon?,Sword,Bow,Gun,Magic Staff
What is your favorite type of yarn craft?,Knitting,Crocheting,Weaving,Macrame
What is your favorite sleeping position?,Back,Side,Stomach,Fetal
What is your favorite type of fountain?,Water,Chocolate,Soda,Lava
What is your favorite type of lighthouse?,Coastal,Harbor,Island,Cliff
What is your favorite type of window seat?,Plane,Train,Coffee Shop,Bay Window
What is your favorite NASA mission?,Apollo,Voyager,Mars Rover,Hubble
What is your favorite type of storm?,Thunderstorm,Snowstorm,Rainstorm,Windstorm
Who is your favorite Teenage Mutant Ninja Turtles villain?,Shredder,Krang,Bebop,Rocksteady
What is your favorite way to eat an egg?,Scrambled,Fried,Poached,Hard Boiled
What is your favorite type of tent?,Dome,Cabin,Teepee,Hammock
